Date,Open,High,Low,Close,Adj Close,Volume
2014-06-20,91.919998,92.550003,90.900002,90.910004,87.658897,100898066
2014-06-23,91.330002,91.620003,90.599998,90.830002,87.581749,43694391
2014-06-24,90.750000,91.739998,90.190002,90.279999,87.051437,39036087
2014-06-25,90.250000,90.699997,89.650002,90.360001,87.128548,36868541
2014-06-26,90.430000,91.050003,89.800003,90.900002,87.649269,32629359
2014-06-27,90.860001,92.000000,90.769997,91.980003,88.690636,64028803
2014-06-30,92.160004,93.724998,92.089996,92.930000,89.606651,49589028
2014-07-01,93.559998,94.070000,93.129997,93.519997,90.175545,38223477
2014-07-02,93.849998,94.059998,93.089996,93.480003,90.136993,28465073
2014-07-03,93.690002,94.099998,93.199997,94.029999,90.667305,22891753
2014-07-07,94.150002,95.989998,94.099998,95.968002,92.536011,56467939
2014-07-08,96.199997,96.800003,93.919998,95.349998,91.940102,65221678
2014-07-09,95.449997,95.949997,94.760002,95.389999,91.978714,36436440
2014-07-10,93.750000,95.550003,93.519997,95.035004,91.636383,39685552
2014-07-11,95.379997,95.889999,94.862503,95.220001,91.814751,34018228
2014-07-14,95.860001,96.889999,95.650002,96.449997,93.000763,42810155
2014-07-15,96.800003,96.849998,95.029999,95.320000,91.911201,45696176
2014-07-16,97.019997,97.099998,94.739998,94.779999,91.390495,53502415
2014-07-17,95.040001,95.278999,92.570000,93.089897,89.760841,57298243
2014-07-18,93.639999,94.739998,93.019997,94.430000,91.053017,49987593
2014-07-21,95.000000,95.000000,93.720001,93.939003,90.579567,39079002
2014-07-22,94.709999,94.889999,94.120003,94.720001,91.332634,55196597
2014-07-23,95.430000,97.879997,95.169998,97.190002,93.714317,92917719
2014-07-24,97.080002,97.320000,96.419998,97.029999,93.560028,45728843
2014-07-25,96.900002,97.839996,96.639999,97.670998,94.178116,43469117
2014-07-28,97.800003,99.239998,97.550003,99.019997,95.478851,55317689
2014-07-29,99.279999,99.440002,98.250000,98.379997,94.861755,43143095
2014-07-30,98.379997,98.699997,97.669998,98.150002,94.640007,33010001
2014-07-31,97.180000,97.449997,95.330002,95.599998,92.181152,56842647
2014-08-01,95.000000,96.620003,94.809998,96.129997,92.692215,48511286
2014-08-04,96.349998,96.580002,95.169998,95.589996,92.171532,39958144
2014-08-05,95.349998,95.680000,94.360001,95.120003,91.718330,55932663
2014-08-06,94.800003,95.480003,94.709999,94.959999,91.564049,38558342
2014-08-07,94.919998,95.949997,94.099998,94.480003,91.214081,46711179
2014-08-08,94.199997,94.820000,93.279999,94.739998,91.465111,41865193
2014-08-11,95.290001,96.080002,94.835503,95.989998,92.671898,36584844
2014-08-12,96.220001,96.879997,95.610001,95.970001,92.652580,33795352
2014-08-13,96.169998,97.239998,96.040001,97.239998,93.878685,31916439
2014-08-14,97.389999,97.570000,96.800003,97.500000,94.129700,28115566
2014-08-15,97.989998,98.190002,96.860001,97.980003,94.593094,48951331
2014-08-18,98.480003,99.370003,97.980003,99.160004,95.732346,47572413
2014-08-19,99.410004,100.680000,99.320000,100.529999,97.054955,69399270
2014-08-20,100.480003,101.089996,99.949997,100.570000,97.093575,52699192
2014-08-21,100.550003,100.940002,100.110001,100.580002,97.103218,33478198
2014-08-22,100.309998,101.470001,100.190002,101.320000,97.817650,44183834
2014-08-25,101.809998,102.169998,101.279999,101.540001,98.030029,40270173
2014-08-26,101.459999,101.500000,100.860001,100.889000,97.401566,33151984
2014-08-27,101.000000,102.570000,100.699997,102.129997,98.599632,52369011
2014-08-28,101.589996,102.779999,101.559998,102.250000,98.715530,68459801
2014-08-29,102.879997,102.900002,102.199997,102.500000,98.956871,44595247
2014-09-02,103.040001,103.739998,102.720001,103.300003,99.729218,53564262
2014-09-03,103.199997,103.199997,98.580002,98.940002,95.519897,125420521
2014-09-04,99.000000,100.089996,97.790001,98.120003,94.728271,85718221
2014-09-05,98.889999,99.389999,98.309998,98.970001,95.548904,58457035
2014-09-08,99.300003,99.309998,98.050003,98.360001,94.959984,46356742
2014-09-09,99.110001,103.080002,96.139999,97.989998,94.602768,189846255
2014-09-10,98.010002,101.110001,97.760002,101.000000,97.508720,100869587
2014-09-11,100.449997,101.440002,99.620003,101.430000,97.923866,62399743
2014-09-12,101.220001,102.190002,101.080002,101.660004,98.145905,64096903
2014-09-15,102.809998,103.050003,101.440002,101.629997,98.116913,61316516
2014-09-16,99.800003,101.260002,98.889999,100.860001,97.373543,66908133
2014-09-17,101.269997,101.800003,100.592201,101.580002,98.068665,60926498
2014-09-18,101.930000,102.349998,101.559998,101.790001,98.271408,37299435
2014-09-19,102.230003,102.349998,100.879997,100.959999,97.470116,70902406
2014-09-22,101.800003,102.139999,100.580002,101.059998,97.566620,52788426
2014-09-23,100.599998,102.940002,100.540001,102.639999,99.092026,63402196
2014-09-24,102.160004,102.849998,101.199997,101.750000,98.232796,60171828
2014-09-25,100.510002,100.709999,97.720001,97.870003,94.486916,100091992
2014-09-26,98.529999,100.750000,98.400002,100.750000,97.267349,62370500
2014-09-29,98.650002,100.434998,98.629997,100.110001,96.649490,49766312
2014-09-30,100.809998,101.540001,100.529999,100.750000,97.267349,55264139
2014-10-01,100.589996,100.690002,98.699997,99.180000,95.751633,51491286
2014-10-02,99.269997,100.220001,98.040001,99.900002,96.446754,47757828
2014-10-03,99.440002,100.209999,99.040001,99.620003,96.176407,43469585
2014-10-06,99.949997,100.650002,99.419998,99.620003,96.176407,37051182
2014-10-07,99.430000,100.120003,98.730003,98.750000,95.336502,42094183
2014-10-08,98.760002,101.110001,98.309998,100.800003,97.315628,57404674
2014-10-09,101.540001,102.379997,100.610001,101.019997,97.528008,77376525
2014-10-10,100.690002,102.029999,100.300003,100.730003,97.248070,66331592
2014-10-13,101.330002,101.779999,99.809998,99.809998,96.359840,53583368
2014-10-14,100.389999,100.519997,98.570000,98.750000,95.336502,63688562
2014-10-15,97.970001,99.150002,95.180000,97.540001,94.168312,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,92.932579,72154523
2014-10-17,97.500000,99.000000,96.809998,97.669998,94.293846,68179688
2014-10-20,98.315002,99.959999,98.220001,99.760002,96.311569,77517279
2014-10-21,103.019997,103.019997,101.269997,102.470001,98.927910,94623904
2014-10-22,102.839996,104.110001,102.599998,102.989998,99.429932,68263146
2014-10-23,104.080002,105.051003,103.629997,104.830002,101.206322,71074674
2014-10-24,105.180000,105.489998,104.529999,105.220001,101.582848,47053916
2014-10-27,104.849998,105.480003,104.699997,105.110001,101.476662,34187701
2014-10-28,105.400002,106.739998,105.349998,106.739998,103.050293,48060949
2014-10-29,106.650002,107.370003,106.360001,107.339996,103.629555,52687879
2014-10-30,106.959000,107.349998,105.900002,106.980003,103.281998,40654793
2014-10-31,108.010002,108.040001,107.209999,108.000000,104.266739,44639285
2014-11-03,108.220001,110.300003,108.010002,109.400002,105.618355,52282550
2014-11-04,109.360001,109.489998,107.720001,108.599998,104.846024,41574365
2014-11-05,109.099998,109.300003,108.125000,108.860001,105.097023,37435905
2014-11-06,108.599998,108.790001,107.800003,108.699997,105.055946,34968457
2014-11-07,108.750000,109.320000,108.550003,109.010002,105.355545,33691535
2014-11-10,109.019997,109.330002,108.669998,108.830002,105.181595,27195547
2014-11-11,108.699997,109.750000,108.400002,109.699997,106.022408,27442252
2014-11-12,109.379997,111.430000,109.370003,111.250000,107.520454,46942431
2014-11-13,111.800003,113.449997,111.599998,112.820000,109.037842,59522855
2014-11-14,113.150002,114.190002,113.050003,114.180000,110.352226,43785147
2014-11-17,114.269997,117.279999,113.300003,113.989998,110.168610,46746712
2014-11-18,113.940002,115.690002,113.889999,115.470001,111.598984,44223978
